Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
288.29	7.5942e-05	752.97	0.0013281	-87.596	-87.596	-227.31	303.37	371.56	1320.5	-0.043548	1632.2	0.13766	0.025779	0.00053968	1852.9	-27.443	-25.046	-10.339	262.54	270.85	120.49	22.107	4.2236	0.0080445
288.35	7.6360e-05	752.93	0.0013281	-87.573	-87.573	-227.23	303.41	371.60	1320.3	-0.043543	1630.2	0.13765	0.025774	0.00054254	1843.2	-27.427	-25.029	-10.327	262.58	270.90	120.50	22.086	4.2246	0.0080480
288.41	7.6780e-05	752.88	0.0013282	-87.551	-87.551	-227.15	303.44	371.63	1320.0	-0.043537	1628.3	0.13763	0.025769	0.00054541	1833.5	-27.411	-25.013	-10.316	262.63	270.95	120.51	22.065	4.2255	0.0080514
288.47	7.7202e-05	752.84	0.0013283	-87.528	-87.528	-227.07	303.48	371.66	1319.8	-0.043532	1626.3	0.13762	0.025764	0.00054829	1823.8	-27.395	-24.996	-10.305	262.67	270.99	120.52	22.045	4.2265	0.0080549
288.53	7.7627e-05	752.79	0.0013284	-87.506	-87.506	-226.99	303.52	371.69	1319.5	-0.043527	1624.4	0.13760	0.025758	0.00055119	1814.3	-27.379	-24.980	-10.293	262.72	271.04	120.53	22.024	4.2275	0.0080584
288.59	7.8053e-05	752.75	0.0013285	-87.483	-87.483	-226.92	303.55	371.72	1319.3	-0.043522	1622.4	0.13759	0.025753	0.00055410	1804.7	-27.363	-24.963	-10.282	262.77	271.08	120.55	22.003	4.2285	0.0080619
288.66	7.8482e-05	752.70	0.0013285	-87.461	-87.461	-226.84	303.59	371.75	1319.0	-0.043516	1620.5	0.13757	0.025748	0.00055703	1795.2	-27.347	-24.947	-10.270	262.81	271.13	120.56	21.983	4.2295	0.0080653
288.72	7.8912e-05	752.66	0.0013286	-87.438	-87.438	-226.76	303.63	371.78	1318.8	-0.043511	1618.6	0.13756	0.025742	0.00055997	1785.8	-27.331	-24.931	-10.259	262.86	271.17	120.57	21.962	4.2304	0.0080688
288.78	7.9345e-05	752.61	0.0013287	-87.415	-87.415	-226.68	303.66	371.82	1318.5	-0.043506	1616.7	0.13754	0.025737	0.00056292	1776.4	-27.315	-24.914	-10.247	262.90	271.22	120.58	21.942	4.2314	0.0080723
288.84	7.9780e-05	752.57	0.0013288	-87.393	-87.393	-226.60	303.70	371.85	1318.3	-0.043500	1614.7	0.13753	0.025732	0.00056589	1767.1	-27.299	-24.898	-10.236	262.95	271.26	120.60	21.921	4.2324	0.0080758
